victim,ransomware,date_published,link
Création Baumann AG (creationbaumann.com),BlackByte ,2023-04-10,https://twitter.com/FalconFeedsio/status/1645309384132554754
City of Collegedale (collegedaletn.gov),BlackByte ,2023-04-10,https://twitter.com/FalconFeedsio/status/1645302795992461314
Scantibodies Laboratory,Medusa ,2023-04-10,https://twitter.com/FalconFeedsio/status/1645293557748572160
Grupo Cbb (cbb.cl),BlackByte ,2023-04-10,https://twitter.com/FalconFeedsio/status/1645289080597487617
Crown Grinding & Machining (crowngrinding.com),BlackByte ,2023-04-10,https://twitter.com/FalconFeedsio/status/1645286085323309056
Palo Alto Sheriff (paloaltosheriff.com),PLAY ,2023-04-09,https://twitter.com/FalconFeedsio/status/1644973426313170947
PKF Antares (pkfantares.com),PLAY ,2023-04-09,https://twitter.com/FalconFeedsio/status/1644965871922577409
Legion Aero (legionaero.com),PLAY ,2023-04-09,https://twitter.com/FalconFeedsio/status/1644958326369730560
Michiels Vleeswaren,PLAY ,2023-04-09,https://twitter.com/FalconFeedsio/status/1644950772470169601
Schirm (schirm.com),PLAY ,2023-04-09,https://twitter.com/FalconFeedsio/status/1644943224111243265
Bayside Interiors (baysideinteriors.com),LockBit ,2023-04-09,https://twitter.com/FalconFeedsio/status/1644935672862498818
DCI Engineers (dci-engineers.com),Black Basta ,2023-04-09,https://twitter.com/FalconFeedsio/status/1644923639387529216
bsw-architects.com,ransomblog_noname,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645533042038149126
stanleyelectricus.com,royal,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645533017127940098
Co. and Nobiskrug Yachts GmbH,BianLian,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645533013533442055
Harvard Energy,BianLian,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645532973670846464
naturespath.com,royal,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645503808607322128
fiamma.com.my,LockBit,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645466967585816576
euromotors.com.pe,LockBit,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645466882042888194
disltd.ca,LockBit,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645466706591055873
artri.net,LockBit,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645466606988931072
agp.ph,LockBit,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645466424461127681
alvaria.com,royal,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645435725154856960
tomduffy.com,royal,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645435717546397696
bigassfans.com,royal,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645435651297275909
mundocuervo.com,LockBit,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645404417414385665
aek.mk,LockBit,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645404376725442562
"Scantibodies Laboratory, Inc.",medusa,2023-04-10,https://twitter.com/TMRansomMonitor/status/1645309667755581441
Creation Baumann,BlackByte,2023-04-09,https://twitter.com/TMRansomMonitor/status/1645168773828059142
Crown Grinding & Machining,BlackByte,2023-04-09,https://twitter.com/TMRansomMonitor/status/1645134257302454275
Cementos Bio-Bio,BlackByte,2023-04-09,https://twitter.com/TMRansomMonitor/status/1645134151425703936
